session_id,n_cells,d_target,alpha_real,alpha_truth,residual_median,alpha_clean,alpha_noisy
Mouse12-120806,39,0.7244768881731432,0.5606696712425118,1.001856211669428,10.064502605464412,1.0014490182280933,0.6123611114828251
Mouse12-120807,40,0.7508762935280098,0.5592968268885062,1.0420996349293141,6.748565499485016,1.042002084578483,0.9112282804898085
Mouse12-120808,39,0.9171138406698726,0.5521110246502522,1.050123838765546,4.675378038103786,1.0500106109907696,1.0015362203934788
Mouse12-120809,49,0.35177070879555544,0.7501093390827339,1.0454246642762952,5.223666369078483,1.0452230957777906,0.9108533988198245
Mouse12-120810,44,0.3901135056557188,0.8609464207384168,1.0969025983358105,4.370927253282298,1.0965697449717946,1.0558647869811364
Mouse17-130125,3,2.3906401768495074,0.10759057286731587,1.1972484257939617,0.10439547771418241,1.199132543089145,1.0555815589242186
Mouse17-130128,19,2.4577453799726903,0.1413597191445085,1.0019740177426246,3.931401416757482,0.9909499600266128,0.39915993295744034
Mouse17-130129,25,0.8292553228690287,0.5377601485790617,1.0194906757926994,4.413938738179971,1.0197331442141313,0.8167920911246469
Mouse17-130130,26,0.9121296412847065,0.6234038099684645,0.9599365681152762,6.6705513452675405,0.959873072067802,0.8449932676408599
Mouse17-130131,22,1.4838876232305627,0.5009014928690642,0.970241237892709,6.633404219252843,0.9700926294840319,0.33943657154226275
Mouse17-130201,26,2.261858129323001,0.3410980502270323,1.0630991284265308,7.255380121822906,1.0684920756188574,0.6338053345123298
Mouse17-130202,25,1.1082627269349403,0.37517273986202526,1.010390016730798,3.9455076504496733,1.0103483054503868,0.678338686912779
Mouse17-130203,28,1.0808519251633935,0.4411482463595115,1.0511663770449182,4.289367398223728,1.051026253537131,0.843021341698658
Mouse17-130204,23,1.2134303237035802,0.39986194755787385,1.0925783069438701,7.557666428717303,1.0925144531000919,0.8536893414891319
Mouse20-130514,5,6.632014896545944,0.18915094672543556,0.2709734519737857,1.7616175411786197,0.26394588107740546,0.046095734812479895
Mouse20-130515,6,4.6581591847426385,0.3357918448568822,0.3315316027820525,1.628919435797574,0.33148761546581956,0.3033481633077798
Mouse20-130516,9,2.553328402334901,0.3016558204541575,1.3595590046384294,2.094551347572783,1.37361180318158,0.6206044029325813
Mouse20-130517,16,1.8496212085187709,0.3993264886646463,1.0723492240991226,4.747496211923941,1.0723450706639397,0.8100192005592546
Mouse20-130520,10,0.7537002752395319,0.4465541711912285,1.0030544339502054,3.587665187835255,1.002647834893382,0.7947429695113811
Mouse24-131216,14,2.4473250600463894,0.4056969298687091,1.5247213130542348,1.1529126767853632,1.5206957776948038,1.399361000751622
Mouse24-131217,16,1.267208708855535,0.37816261736218687,0.9531246731065153,4.335624363153926,0.9531443515593208,0.525421534817445
Mouse24-131218,16,1.501045594246457,0.5461141160987021,1.2068385716082541,2.5867051691255347,1.147949658093291,0.8575180495267803
Mouse25-140124,10,1.8503475122327973,0.34784955733934086,1.059533350127994,3.034405878439443,1.0595043423004595,0.8933746980187958
Mouse25-140130,17,0.7461277889089183,0.774362849121767,1.0275803932711005,2.856563908635531,1.0274027972136353,1.0019798683363637
Mouse25-140131,20,0.5579493701188092,0.7880587391458674,1.0100698148788805,2.1837617765705026,1.009802352543859,0.9473724863642929
Mouse25-140204,22,0.44811862542745107,0.8138522047380407,1.0807287084433765,2.110131568010088,1.0807182902672359,1.0488497574732762
Mouse25-140205,18,0.5325981683258236,0.7491405857515375,1.0647325894080724,2.5273552181088412,1.06460109259719,0.9986151733645233
Mouse25-140206,14,0.6986401876139154,0.6177409679848439,1.1079990822748267,2.469016659850138,1.1079430819706642,1.0578703500671662
Mouse28-140311,14,0.9044972309202312,0.6229184053013442,1.0958203678711333,2.4651548347557832,1.0950878066304115,0.9915557394757136
Mouse28-140313,24,0.2762081232305833,0.7955628391575148,1.0621207388141503,3.0953676524940956,1.0621043623805408,1.0335476432193555
Mouse28-140317,20,0.3842000709252566,0.820368350620962,1.1722771647870995,2.454230640684434,1.1719640985650623,1.1149685018723834
Mouse28-140318,23,0.45445613124489553,0.7449681760176454,1.0979000158487797,3.4861581613316526,1.0979120691808015,0.9254212732652713
